Timestamp,Email Address,First Name,Last Name,Year?,Semesters in the Writing Center?,Majors,Minors,Number of Hours Per Week,Hours I can work [Sunday],Hours I can work [Monday],Hours I can work [Tuesday],Hours I can work [Wednesday],Hours I can work [Thursday],Hours I can work [Friday],Hours I can work [Saturday]
2/26/2022 14:36:06,jlennon@none.com,John,Lennon,Senior,7,"Physics, Psychology",,12,,9:00am-10:00am,"8:00am-9:00am, 9:00am-10:00am, 12:00pm-1:00pm, 2:00pm-3:00pm","8:00am-9:00am, 10:00am-11:00am, 12:00pm-1:00pm",10:00am-11:00am,"11:00am-12:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","11:00am-12:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm"
2/26/2022 14:38:47,jsmith@none.com,James,Smith,Junior,4,Biology,,10,"11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","3:00pm-4:00pm, 4:00pm-5:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm","10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm",
2/26/2022 14:42:07,jbrown@none.com,John,Brown,Freshman,0,Computer Science,Data Science,9,"7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm","5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm",
2/26/2022 15:14:31,gjones@none.com,George,Jones,Sophomore,2,"Biology, Chemistry",,6,"11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm",,"8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm",,"8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm",
2/26/2022 15:15:36,eclark@none.com,Emily,Clark,Senior,4,"Computer Science, Physics",,8,"12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm",
2/26/2022 15:17:20,mmiller@none.com,Mary,Miller,Junior,3,"Art, English",,9,"1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm",
3/8/2022 22:49:43,sjackson@none.com,Samuel,Jackson,Junior,5,Art,English,6,"9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm","4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm",
3/8/2022 22:54:11,jdoe@none.com,Jake,Doe,Senior,8,"Biology, Business",,5,"6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm",,
3/8/2022 22:55:14,chatchell@none.com,Chris,Hatchell,Junior,4,"English, History",,6,"6:00pm-7:00pm, 7:00pm-8:00pm","6:00pm-7:00pm, 7:00pm-8:00pm","5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm",,,"5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm",
3/8/2022 22:56:04,baffleck@none.com,Ben,Affleck,Freshman,1,"Computer Science, Economics",,9,"12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm",
3/8/2022 22:58:14,jhall@none.com,Jayden,Hall,Sophomore,1,"Economics, International Studies",,6,"3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm","6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm",,
3/8/2022 22:58:57,ballen@none.com,Barry,Allen,Sophomore,3,"Mathematics, Physics",,5,"4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm",,"4:00pm-5:00pm, 5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm","2:00pm-3:00pm, 3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm",
3/8/2022 22:59:41,bwayne@none.com,Bruce,Wayne,Senior,0,"Computer Science, Data Science, Mathematics",,9,"9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm",,,,,,
3/8/2022 23:00:40,thall@none.com,Tom,Hall,Freshman,0,"Art, History",,7,"8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm",,"9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm, 12:00pm-1:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm"
3/8/2022 23:01:27,rclooney@none.com,Randy,Clooney,Senior,5,Nursing,,8,"12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm",,"12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm","12:00pm-1:00pm, 1:00pm-2:00pm, 2:00pm-3:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm",
3/8/2022 23:02:09,sbrown@none.com,Samantha,Brown,Junior,3,Psychology,Sociology,10,"11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm","11:00am-12:00pm, 12:00pm-1:00pm",
3/8/2022 23:03:17,iham@none.com,Isabel,Ham,Senior,2,"Economics, Mathematics",,5,,"7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm","7:00pm-8:00pm, 8:00pm-9:00pm, 9:00pm-10:00pm, 10:00pm-11:00pm",,
3/8/2022 23:04:11,athompson@none.com,Abigail,Thompson,Freshman,1,"International Studies, Music",,5,,"1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm",,
3/8/2022 23:05:02,ckent@none.com,Clark,Kent,Freshman,0,Nursing,,8,,"6:00pm-7:00pm, 7:00pm-8:00pm, 8:00pm-9:00pm","5:00pm-6:00pm, 6:00pm-7:00pm, 7:00pm-8:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm","1:00pm-2:00pm, 2:00pm-3:00pm, 3:00pm-4:00pm","11:00am-12:00pm, 12:00pm-1:00pm, 1:00pm-2:00pm",
3/8/2022 23:05:58,kbirgy@none.com,Kandice,Birgy,Sophomore,2,"Art, Music",,6,"2:00pm-3:00pm, 3:00pm-4:00pm, 4:00pm-5:00pm",,"3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm","3:00pm-4:00pm, 4:00pm-5:00pm, 5:00pm-6:00pm","3:00pm-4:00pm, 4:00pm-5:00pm","3:00pm-4:00pm, 4:00pm-5:00pm",
3/10/2022 2:08:52,chall@none.com,Cael,Hall,Freshman,1,Chemistry,Biology,6,,,"8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm","8:00am-9:00am, 9:00am-10:00am, 10:00am-11:00am, 11:00am-12:00pm",
